City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,zhicheng,30.2956,111.5047,295.2,44,0,1.44,CN,1667877510
123,zhangye,38.9342,100.4517,282.14,25,0,0.37,CN,1667877510
124,aklavik,68.2191,-135.0107,255.78,85,100,4.84,CA,1667877510
125,guerrero negro,27.9769,-114.0611,291.9,75,52,4.95,MX,1667877226
126,narsaq,60.9167,-46.05,272.27,74,100,3.27,GL,1667877511
127,troitsko-pechorsk,62.7084,56.1964,270.23,97,100,3.53,RU,1667877511
128,ahipara,-35.1667,173.1667,289.98,86,96,6.51,NZ,1667877512
129,souillac,-20.5167,57.5167,297.36,73,40,3.6,MU,1667877512
130,geraldton,-28.7667,114.6,296.38,56,40,7.2,AU,1667877512
131,labuhan,-6.8844,112.2051,303.08,64,86,0.8,ID,1667877513
132,bethel,41.3712,-73.414,287.31,45,0,3.09,US,1667877239
133,kruisfontein,-34.0033,24.7314,286.17,86,34,2.29,ZA,1667877513
134,san patricio,28.017,-97.5169,298.62,86,3,4.73,US,1667877514
135,ayagoz,47.9714,80.4392,278.64,95,100,7.33,KZ,1667877514
136,alekseyevsk,57.8406,108.3492,269.32,86,100,5.6,RU,1667877515
137,ust-shonosha,61.1531,41.343,275.02,93,100,3.93,RU,1667877515
138,dongsheng,39.8161,109.9776,280.04,33,66,5.6,CN,1667877515
139,walvis bay,-22.9575,14.5053,288.2,94,27,1.54,NA,1667877516
140,vao,-22.6667,167.4833,296.63,85,97,6.92,NC,1667877516
141,ingham,42.6,-84.3833,278.25,66,0,1.54,US,1667877516
142,nanortalik,60.1432,-45.2371,270.97,87,100,1.75,GL,1667877517
143,gibgos,13.859,123.7675,302.06,76,100,2.49,PH,1667877517
144,taree,-31.9,152.4667,297.63,54,61,4.52,AU,1667877518
145,luderitz,-26.6481,15.1594,289.55,85,71,3.05,NA,1667877518
146,vaini,-21.2,-175.2,300.24,74,20,3.6,TO,1667877518
147,kloulklubed,7.0419,134.2556,300.43,69,100,1.58,PW,1667877519
148,port blair,11.6667,92.75,300.29,78,95,5.3,IN,1667877435
149,new norfolk,-42.7826,147.0587,300.86,27,43,0.89,AU,1667877519
150,saryg-sep,51.5,95.6,271.23,84,97,0.53,RU,1667877519
151,riyadh,24.6877,46.7219,290.23,55,0,2.4,SA,1667877287
152,saint-philippe,-21.3585,55.7679,297.92,77,14,3.33,RE,1667877520
153,ratholo,-22.7245,27.572,292.47,92,100,4.15,BW,1667877520
154,kozlovo,56.5167,36.2667,276.33,96,100,4.11,RU,1667877521
155,arman,59.7,150.1667,268.16,91,98,5.75,RU,1667877521
156,necochea,-38.5473,-58.7368,288.41,58,0,7.78,AR,1667877521
157,nova olimpia,-14.7972,-57.2881,295.3,36,0,0.74,BR,1667877522
158,ayan,56.45,138.1667,264.29,51,100,6.76,RU,1667877522
159,kathmandu,27.7167,85.3167,288.27,88,75,1.03,NP,1667877522
160,codrington,-38.2667,141.9667,297.71,59,6,4.64,AU,1667877523
161,paracuru,-3.41,-39.0306,299.88,73,77,3.98,BR,1667877523
162,lompoc,34.6391,-120.4579,284.7,95,100,2.57,US,1667877523
163,cherskiy,68.75,161.3,252.21,99,39,1.7,RU,1667877524
164,bela,25.9333,81.9833,296.61,50,81,1.77,IN,1667877524
165,zemio,5.0314,25.1361,294.1,94,100,1.15,CF,1667877524
